date,company,plan,industry,country,active_users,sessions,avg_session_minutes,feature_events,api_calls,errors,revenue_usd,refunds_usd,churned_users,nps_score
2025-10-01,Acme Corp,Pro,Fintech,France,142,1180,14.6,8420,120400,96,4200,0,2,42
2025-10-01,BlueWave,Starter,E-commerce,Germany,58,430,11.2,2910,41200,41,990,0,3,36
2025-10-01,NovaTech,Business,AI,USA,310,2840,18.9,22100,304500,182,9800,0,1,55
2025-10-01,GreenSoft,Pro,Health,Italy,126,970,13.4,7010,98500,77,4100,0,4,44
2025-10-02,Acme Corp,Pro,Fintech,France,145,1210,15.1,8600,123900,102,4200,0,1,43
2025-10-02,BlueWave,Starter,E-commerce,Germany,56,410,10.9,2750,39800,39,990,0,4,35
2025-10-02,NovaTech,Business,AI,USA,318,2910,19.2,22840,312700,176,9800,0,0,56
2025-10-02,GreenSoft,Pro,Health,Italy,129,995,13.9,7240,101200,81,4100,0,3,45
2025-10-03,Acme Corp,Pro,Fintech,France,147,1250,15.8,8910,128600,110,4200,0,1,44
2025-10-03,BlueWave,Starter,E-commerce,Germany,55,402,10.4,2640,38750,36,990,0,5,34
2025-10-03,NovaTech,Business,AI,USA,325,3020,19.6,23680,321900,190,9800,0,0,57
2025-10-03,GreenSoft,Pro,Health,Italy,132,1020,14.2,7460,103800,85,4100,0,2,46
2025-10-04,Acme Corp,Pro,Fintech,France,149,1290,16.2,9200,133500,117,4200,0,0,45
2025-10-04,BlueWave,Starter,E-commerce,Germany,54,395,10.1,2560,37500,34,990,0,4,33
2025-10-04,NovaTech,Business,AI,USA,332,3100,20.1,24510,334800,198,9800,0,0,58
2025-10-04,GreenSoft,Pro,Health,Italy,134,1045,14.6,7680,106900,88,4100,0,2,47
2025-10-05,Acme Corp,Pro,Fintech,France,151,1320,16.4,9420,137200,120,4200,0,1,46
2025-10-05,BlueWave,Starter,E-commerce,Germany,53,382,9.8,2490,36200,32,990,0,6,32
2025-10-05,NovaTech,Business,AI,USA,340,3210,20.4,25420,349100,205,9800,0,1,59
2025-10-05,GreenSoft,Pro,Health,Italy,136,1070,14.9,7890,109500,92,4100,0,3,48
2025-10-06,Acme Corp,Pro,Fintech,France,153,1360,16.8,9650,141800,124,4200,0,0,47
2025-10-06,BlueWave,Starter,E-commerce,Germany,52,370,9.6,2420,35100,30,990,0,7,31
2025-10-06,NovaTech,Business,AI,USA,348,3320,20.9,26380,362400,214,9800,0,0,60
2025-10-06,GreenSoft,Pro,Health,Italy,138,1095,15.2,8120,112800,96,4100,0,2,49
